group,drop_iv,J_df,J_p,J_opt,b_m,theta_k_mean,theta_l_mean
G1_17_19,(none),3.0,4.2860028026669994e-11,51.26960754394531,0.22300265729427338,0.2855129837989807,0.5371665954589844
G2_39_41,(none),2.0,4.3261506437733063e-14,61.543025970458984,0.24430008232593536,0.2783157229423523,0.626504123210907
G1_17_19,klag,2.0,0.00017644539184402674,17.284997940063477,0.1340475231409073,0.3657486140727997,0.45122259855270386
G1_17_19,k_ind_yr,2.0,0.0,853.4771728515625,0.8793599009513855,-0.16872303187847137,0.4413548409938812
G1_17_19,lages2q,2.0,2.6366766178398393e-05,21.08681297302246,0.1891300082206726,0.33605891466140747,0.46138495206832886
G1_17_19,lages,2.0,0.0,706.0553588867188,0.9376638531684875,-0.20302148163318634,0.4746866226196289
G1_17_19,llag,2.0,2.0871881000221852e-38,173.5248260498047,0.5580052733421326,0.04103190824389458,0.513462245464325
G1_17_19,l_ind_yr,2.0,0.0,850.0685424804688,0.8778671622276306,-0.11525146663188934,0.34269988536834717
G1_17_19,mlag,2.0,0.007176266983151436,9.87395191192627,0.3575505018234253,0.24242879450321198,0.3348892033100128
G1_17_19,m_ind_yr,2.0,0.0,813.8274536132812,0.917830228805542,-0.34189313650131226,0.7947364449501038
G1_17_19,Z_HHI_post,2.0,0.0,857.6981201171875,0.8706783056259155,-0.1601862907409668,0.4397532045841217
G1_17_19,Z_tariff,2.0,0.0,815.5096435546875,0.874636173248291,-0.09070384502410889,0.30582165718078613
G2_39_41,klag,1.0,1.2427079825595298e-22,95.84449768066406,0.9371932744979858,0.5721557140350342,-0.5628765225410461
G2_39_41,k_ind_yr,1.0,8.716383543995313e-16,64.70115661621094,0.25237902998924255,0.43296611309051514,0.29782581329345703
G2_39_41,lages2q,1.0,6.815769724089935e-16,65.18583679199219,0.25109249353408813,0.3408793807029724,0.38842102885246277
G2_39_41,lages,1.0,3.801259907923861e-34,148.4401092529297,0.46347805857658386,0.44829556345939636,-0.37514546513557434
G2_39_41,llag,1.0,1.4371050190580988e-22,95.55677032470703,0.9585975408554077,-0.4596030116081238,0.8963906764984131
G2_39_41,l_ind_yr,1.0,3.996673716126107e-15,61.701541900634766,0.25265488028526306,0.4072335362434387,0.3504338562488556
G2_39_41,mlag,1.0,4.81842205024563e-11,43.249576568603516,0.4625890851020813,0.25009310245513916,0.2959039509296417
G2_39_41,m_ind_yr,1.0,0.0,467.7876892089844,0.9857107400894165,0.008198682218790054,0.053733427077531815
G2_39_41,Z_HHI_post,1.0,0.0,638.2459716796875,0.9861221313476562,0.0034273085184395313,0.06823988258838654
