group,iv_set,stage,varname,detail,N,miss_rate,sd,stat1,stat2,stat3
G1_17_19,A,exist,`l,missing variable,23968,,,,,
G1_17_19,A,ivreg2,.,skipped: missing vars,23968,,,,,
G1_17_19,A,varstat,Z_HHI_post,ok,23968,0,,,,
G1_17_19,A,varstat,k_ind_yr,ok,23968,0,,,,
G1_17_19,A,varstat,klag,ok,23968,0,,,,
G1_17_19,A,varstat,l_ind_yr,ok,23968,0,,,,
G1_17_19,A,varstat,llag,ok,23968,0,,,,
G1_17_19,A,varstat,m_ind_yr,ok,23968,0,,,,
G1_17_19,A,varstat,mlag,ok,23968,0,,,,
G1_17_19,B,exist,`l,missing variable,23968,,,,,
G1_17_19,B,ivreg2,.,skipped: missing vars,23968,,,,,
G1_17_19,B,varstat,Z_HHI_post,ok,23968,0,,,,
G1_17_19,B,varstat,Z_tariff,ok,23968,0,,,,
G1_17_19,B,varstat,k_ind_yr,ok,23968,0,,,,
G1_17_19,B,varstat,klag,ok,23968,0,,,,
G1_17_19,B,varstat,l_ind_yr,ok,23968,0,,,,
G1_17_19,B,varstat,llag,ok,23968,0,,,,
G1_17_19,B,varstat,m_ind_yr,ok,23968,0,,,,
G1_17_19,B,varstat,mlag,ok,23968,0,,,,
G1_17_19,C,exist,`llag,missing variable,23968,,,,,
G1_17_19,C,ivreg2,.,skipped: missing vars,23968,,,,,
G1_17_19,C,varstat,Z_HHI_post,ok,23968,0,,,,
G1_17_19,C,varstat,Z_tariff,ok,23968,0,,,,
G1_17_19,C,varstat,k_ind_yr,ok,23968,0,,,,
G1_17_19,C,varstat,klag,ok,23968,0,,,,
G1_17_19,C,varstat,l_ind_yr,ok,23968,0,,,,
G1_17_19,C,varstat,m_ind_yr,ok,23968,0,,,,
G1_17_19,C,varstat,mlag,ok,23968,0,,,,
G2_39_41,A,exist,`llag,missing variable,23289,,,,,
G2_39_41,A,ivreg2,.,skipped: missing vars,23289,,,,,
G2_39_41,A,varstat,Z_HHI_post,ok,23289,0,,,,
G2_39_41,A,varstat,k_ind_yr,ok,23289,0,,,,
G2_39_41,A,varstat,klag,ok,23289,0,,,,
G2_39_41,A,varstat,l_ind_yr,ok,23289,0,,,,
G2_39_41,A,varstat,m_ind_yr,ok,23289,0,,,,
G2_39_41,A,varstat,mlag,ok,23289,0,,,,
G2_39_41,B,exist,`llag,missing variable,23289,,,,,
G2_39_41,B,ivreg2,.,skipped: missing vars,23289,,,,,
G2_39_41,B,varstat,Z_HHI_post,ok,23289,0,,,,
G2_39_41,B,varstat,Z_tariff,ok,23289,0,,,,
G2_39_41,B,varstat,k_ind_yr,ok,23289,0,,,,
G2_39_41,B,varstat,klag,ok,23289,0,,,,
G2_39_41,B,varstat,l_ind_yr,ok,23289,0,,,,
G2_39_41,B,varstat,m_ind_yr,ok,23289,0,,,,
G2_39_41,B,varstat,mlag,ok,23289,0,,,,
G2_39_41,C,exist,`l,missing variable,23289,,,,,
G2_39_41,C,ivreg2,.,skipped: missing vars,23289,,,,,
G2_39_41,C,varstat,Z_HHI_post,ok,23289,0,,,,
G2_39_41,C,varstat,Z_tariff,ok,23289,0,,,,
G2_39_41,C,varstat,k_ind_yr,ok,23289,0,,,,
G2_39_41,C,varstat,klag,ok,23289,0,,,,
G2_39_41,C,varstat,l_ind_yr,ok,23289,0,,,,
G2_39_41,C,varstat,llag,ok,23289,0,,,,
G2_39_41,C,varstat,m_ind_yr,ok,23289,0,,,,
G2_39_41,C,varstat,mlag,ok,23289,0,,,,
