Title,Year,Authors,Venue,PublicationType,JournalTier,Field,StudyType,DataType,DLW_Related,DLW_Signal,DataProvided,CodeProvided,ReplicationPackage,DOI,URL,OpenAlexID,SearchTerm
Rising Markups and the Role of Consumer Preferences,2025,Hendrik Döpper; Alexander MacKay; Nathan H. Miller; Joel Stiebale,Journal of Political Economy,Journal article,Top5,Industrial organization,Unknown,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.1086/735510,https://doi.org/10.1086/735510,https://openalex.org/W4407898076,markup
How Costly Are Markups?,2022,Chris Edmond; Virgiliu Midrigan; Daniel Yi Xu,Journal of Political Economy,Journal article,Top5,Industrial organization,Theory,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1086/722986,https://doi.org/10.1086/722986,https://openalex.org/W3123991552,markup
Analysing the markups of the tourism industry,2025,Paz Rico Belda; Bernardí Cabrer‐Borrás,Tourism and Hospitality Research,Journal article,OtherJournal,Industrial organization,Method,Firm-level,Yes,production function,Unknown,Unknown,Unknown,https://doi.org/10.1177/14673584251323498,https://doi.org/10.1177/14673584251323498,https://openalex.org/W4408663873,markup
The impact of industrial concentration and markups on price-cost margin and prices in the food industry,2025,Masagus M. Ridhwan; Dinda Thalia Andariesta; Alam Ahmad Hidayat; Darius Tirtosuharto; Irwan Trinugroho; Bruno S. Sergi,British Food Journal,Journal article,OtherJournal,Industrial organization,Method,Firm-level,Yes,de loecker; markup estimation,Unknown,Unknown,Unknown,https://doi.org/10.1108/bfj-05-2025-0718,https://doi.org/10.1108/bfj-05-2025-0718,https://openalex.org/W4413988265,markup
Effects of innovation and markups on employment and labour share in OECD industries,2024,Mehmet Uğur,Structural Change and Economic Dynamics,Journal article,OtherJournal,Industrial organization,Method,Firm-level,Yes,production function,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.strueco.2024.07.011,https://doi.org/10.1016/j.strueco.2024.07.011,https://openalex.org/W4401235975,markup
Markups in US food manufacturing accounting for non‐neutral productivity,2024,Jordi Jaumandreu; Rigoberto A. López,Journal of Agricultural Economics,Journal article,OtherJournal,Industrial organization,Method,Firm-level,Yes,de loecker; warzynski,Unknown,Unknown,Unknown,https://doi.org/10.1111/1477-9552.12575,https://doi.org/10.1111/1477-9552.12575,https://openalex.org/W4392811024,markup
Rising Markups and Declining Business Dynamism: Evidence From the Industry Cross Section,2024,Brian C. Albrecht; Ryan A. Decker,FEDS Notes,Journal article,OtherJournal,Industrial organization,Method,Individual/household,Yes,de loecker,Unknown,Unknown,Unknown,https://doi.org/10.17016/2380-7172.3471,https://doi.org/10.17016/2380-7172.3471,https://openalex.org/W4392692034,markup
Retail Markups and Discount-Store Entry,2023,Lauren Chenarides; Miguel I. Gómez; Timothy J. Richards; Koichi Yonezawa,Review of Industrial Organization,Journal article,OtherJournal,Industrial organization,Method,Firm-level,Yes,de loecker; warzynski,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11151-023-09926-w,https://doi.org/10.1007/s11151-023-09926-w,https://openalex.org/W4387817813,markup
"Rising Markups, Rising Prices?",2023,Christopher T. Conlon; Nathan H. Miller; Tsolmon Otgon; Yi Yao,AEA Papers and Proceedings,Journal article,OtherJournal,Industrial organization,Method,Firm-level,Yes,de loecker,Unknown,Unknown,Unknown,https://doi.org/10.1257/pandp.20231098,https://doi.org/10.1257/pandp.20231098,https://openalex.org/W4377832316,markup
The production approach to markup estimation often measures input distortions,2022,Arshia Hashemi; Ivan Kirov; James Traina,Economics Letters,Journal article,OtherJournal,Industrial organization,Method,Unknown,Yes,production approach; markup estimation,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econlet.2022.110673,https://doi.org/10.1016/j.econlet.2022.110673,https://openalex.org/W4283171496,markup
