iv_set,group,status,J_opt,J_df,J_p,b_m,theta_k_mean,theta_l_mean,theta_m_mean,theta_k_negshare,theta_l_negshare,theta_m_negshare,N
A,G1_17_19,ok,612.8038330078125,3.0,0.0,0.54887455701828,0.11564842611551285,0.2282048910856247,0.54887455701828,0.0,0.0,0.0,23968.0
A,G2_39_41,ok,65.11857604980469,2.0,7.239034946569106e-15,0.45878028869628906,0.31713438034057617,0.20803207159042358,0.45878028869628906,0.0,0.0,0.0,23289.0
B,G1_17_19,ok,652.3616333007812,5.0,0.0,0.5530643463134766,0.11845851689577103,0.2241395264863968,0.5530643463134766,0.0,0.0,0.0,23968.0
B,G2_39_41,ok,470.3165588378906,4.0,0.0,0.6550306081771851,0.13762670755386353,0.2023807317018509,0.6550306081771851,0.0,0.0,0.0,23289.0
C,G1_17_19,ok,51.26960754394531,3.0,4.2860028026669994e-11,0.22300265729427338,0.2855129837989807,0.5371665954589844,0.22300265729427338,0.009679572656750679,0.027244659140706062,0.0,23968.0
C,G2_39_41,ok,61.543025970458984,2.0,4.3261506437733063e-14,0.24430008232593536,0.2783157229423523,0.626504123210907,0.24430008232593536,0.011851088143885136,0.0,0.0,23289.0
A1,G1_17_19,ok,862.1221923828125,1.0,0.0,0.8595064878463745,-0.2082490772008896,0.5483226180076599,0.8595064878463745,1.0,0.0,0.0,23968.0
A1,G2_39_41,ok,145.9492950439453,1.0,1.3317608964007561e-33,0.9473319053649902,0.5656591057777405,-0.5430001020431519,0.9473319053649902,0.0,1.0,0.0,23289.0
A2,MISSING,no_output,,,,,,,,,,,
A3,MISSING,no_output,,,,,,,,,,,
