V01301 V04001 V11046 V11211_CHAR V10302 V12012 V10301 V12011 V13305 V10004_701 V11291_701 V12001_701 V13004_701 V13003_701 V12012_701 V12011_701 V13353 V14033 V14032 V13033 V13032 V11042 V11296_CHAR V13052 V13007
59082 1997 20.0000 999007 981.9000 0.1000 1027.6000 36.6000 2045.3000 1007.2000 1.7000 20.4000 20.4000 80.0000 17.4000 24.9000 179 31.0000 1349.1000 868.8000 1447.8000 10.5000 999016 71.1000 999999.0000 
59082 1998 16.3000 999016 992.5000 2.4000 1028.2000 38.5000 1862.3000 1006.5000 2.0000 21.2000 20.7000 78.0000 18.0000 25.9000 171 36.0000 1578.3000 1041.1000 1738.1000 11.1000 999016 92.6000 999999.0000 
59082 1999 16.7000 999011 986.7000 -4.3000 1031.1000 37.0000 1314.3000 1005.8000 2.0000 20.8000 20.1000 76.0000 17.4000 25.6000 143 35.0000 1564.0000 1020.8000 1660.9000 11.5000 999001 74.0000 999999.0000 
59082 2000 18.3000 999011 988.8000 0.9000 1029.0000 37.0000 1565.8000 1005.9000 2.1000 20.4000 20.0000 78.0000 17.3000 24.9000 153 34.0000 1497.2000 1020.1000 1640.9000 11.7000 999011 131.8000 999999.0000 
59082 2001 16.0000 999011 981.0000 0.2000 1028.8000 36.5000 1689.8000 1006.0000 1.7000 20.5000 20.3000 79.0000 17.2000 25.3000 152 36.0000 1613.0000 957.3000 1602.2000 10.0000 999001 70.3000 999999.0000 
59082 2002 21.9000 999012 985.1000 1.1000 1025.8000 37.4000 1814.9000 1006.2000 1.8000 21.0000 20.7000 80.0000 17.7000 25.6000 157 34.0000 1506.4000 908.4000 999999.0000 11.7000 999012 97.2000 999999.0000 
59082 2004 17.5000 999001 986.5000 -0.4000 1028.0000 38.5000 1251.8000 1006.7000 1.6000 20.8000 19.3000 75.0000 16.8000 26.2000 127 41.0000 1818.5000 1065.1000 999999.0000 11.7000 999001 113.2000 999999.0000 
59082 2005 19.6000 999016 987.9000 -1.2000 1028.8000 39.5000 1772.2000 1006.8000 1.7000 20.5000 19.2000 73.0000 17.4000 24.9000 152 34.0000 1491.2000 994.5000 999999.0000 10.8000 999015 134.0000 999999.0000 
59082 2006 20.4000 999013 983.3000 0.3000 1026.3000 37.1000 1782.8000 1006.6000 1.6000 20.8000 20.5000 79.0000 17.6000 25.6000 150 34.0000 1487.7000 979.6000 999999.0000 13.3000 999013 158.8000 999999.0000 
59082 2007 17.4000 999014 984.9000 1.4000 1026.1000 38.4000 1502.3000 1006.3000 1.8000 21.2000 19.3000 74.0000 17.7000 26.0000 137 39.0000 1736.3000 1098.3000 999999.0000 11.9000 999001 84.5000 999999.0000 
