V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
CHANGAN 	Total	488758	247945	240813	39605	25650	13955	449153	222295	226858	91.90	89.65	94.21
CHANGAN 	Jianshedajie	38855	19073	19782	5127	2679	2448	33728	16394	17334	86.80	85.95	87.63
CHANGAN 	Qingyuanjie	27489	13619	13870	3676	2087	1589	23813	11532	12281	86.63	84.68	88.54
CHANGAN 	Tannanlu	26975	12605	14370	1112	436	676	25863	12169	13694	95.88	96.54	95.30
CHANGAN 	Yucaijie	34016	16889	17127	1614	962	652	32402	15927	16475	95.26	94.30	96.19
CHANGAN 	Yuejinlu	45872	24495	21377	3257	2295	962	42615	22200	20415	92.90	90.63	95.5
CHANGAN 	Yudong	72462	36694	35768	5447	3417	2030	67015	33277	33738	92.48	90.69	94.32
CHANGAN 	Hedong	88779	45989	42790	7933	5444	2489	80846	40545	40301	91.06	88.16	94.18
CHANGAN 	Dongdajie	86112	43737	42375	5940	4772	1168	80172	38965	41207	93.10	89.09	97.24
CHANGAN 	Yuhualu	68198	34844	33354	5499	3558	1941	62699	31286	31413	91.94	89.79	94.18
QIAODONG 	Total	297507	154970	142537	54021	33392	20629	243486	121578	121908	81.84	78.45	85.53
QIAODONG 	Zhongshandonglu	21563	11191	10372	3352	2166	1186	18211	9025	9186	84.45	80.65	88.57
QIAODONG 	Penghoujie	64064	33109	30955	12480	7300	5180	51584	25809	25775	80.52	77.95	83.27
QIAODONG 	Dongfenglu	38697	21223	17474	4701	3874	827	33996	17349	16647	87.85	81.75	95.27
QIAODONG 	Donghualu	25494	13177	12317	7926	4580	3346	17568	8597	8971	68.91	65.24	72.83
QIAODONG 	Xiumen	23706	11665	12041	5031	2735	2296	18675	8930	9745	78.78	76.55	80.93
QIAODONG 	Fukanglu	20945	11454	9491	7431	4413	3018	13514	7041	6473	64.52	61.47	68.20
QIAODONG 	Jiananlu	31759	15462	16297	4729	2856	1873	27030	12606	14424	85.11	81.53	88.51
QIAODONG 	Shenglibeijie	71279	37689	33590	8371	5468	2903	62908	32221	30687	88.26	85.49	91.36
QIAOXI 	Total	278907	140902	138005	36248	21279	14969	242659	119623	123036	87	84.90	89.15
QIAOXI 	Dongli	47705	23677	24028	5655	3145	2510	42050	20532	21518	88.15	86.72	89.55
QIAOXI 	Zhongshanlu	4411	2549	1862	2609	1678	931	1802	871	931	40.85	34.17	50
QIAOXI 	Yonganjie	7563	3904	3659	3945	2132	1813	3618	1772	1846	47.84	45.39	50.45
QIAOXI 	Nanchangjie	14678	7641	7037	3206	1695	1511	11472	5946	5526	78.16	77.82	78.53
QIAOXI 	Xinghuajie	44305	25193	19112	3811	2348	1463	40494	22845	17649	91.40	90.68	92.35
QIAOXI 	Yuhuaxilu	19289	10164	9125	3904	2505	1399	15385	7659	7726	79.76	75.35	84.67
QIAOXI 	Youyidajie	77162	37866	39296	8286	4997	3289	68876	32869	36007	89.26	86.80	91.63
QIAOXI 	Hongqidajie	63794	29908	33886	4832	2779	2053	58962	27129	31833	92.43	90.71	93.94
XINHUA 	Total	360129	184927	175202	46474	26936	19538	313655	157991	155664	87.10	85.43	88.85
XINHUA 	Gexinjie	43945	27064	16881	5329	4138	1191	38616	22926	15690	87.87	84.71	92.94
XINHUA 	Nandajie	3525	2057	1468	2118	1310	808	1407	747	660	39.91	36.32	44.96
XINHUA 	Xinhualu	17316	9621	7695	8679	5012	3667	8637	4609	4028	49.88	47.91	52.35
XINHUA 	Ninganlu	44733	22030	22703	5677	3407	2270	39056	18623	20433	87.31	84.53	90
XINHUA 	Dongjiao	37102	18602	18500	6354	3252	3102	30748	15350	15398	82.87	82.52	83.23
XINHUA 	Xijiao	41595	20502	21093	3870	2145	1725	37725	18357	19368	90.70	89.54	91.82
XINHUA 	Hezuolu	34209	16906	17303	2209	1269	940	32000	15637	16363	93.54	92.49	94.57
XINHUA 	Lianmenglu	75196	36883	38313	5996	3159	2837	69200	33724	35476	92.03	91.44	92.60
XINHUA 	Shigangdajie	62508	31262	31246	6242	3244	2998	56266	28018	28248	90.01	89.62	90.41
SHIJIAZHUANG JIAOQU 	Total	436757	222524	214233	263836	130435	133401	172921	92089	80832	39.59	41.38	37.73
SHIJIAZHUANG JIAOQU 	Xili	44324	22953	21371	31971	15731	16240	12353	7222	5131	27.87	31.46	24.01
SHIJIAZHUANG JIAOQU 	Zhentou	52672	26691	25981	26303	13197	13106	26369	13494	12875	50.06	50.56	49.56
SHIJIAZHUANG JIAOQU 	Suncun	25633	13023	12610	18635	8872	9763	6998	4151	2847	27.30	31.87	22.58
SHIJIAZHUANG JIAOQU 	Huaidi	35199	18030	17169	12169	6786	5383	23030	11244	11786	65.43	62.36	68.65
