V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
CHENGGUAN 	Total	77171	39202	37969	43001	24365	18636	4355	2337	2018	9.20	8.75	9.77
CHENGGUAN 	Jiuquanlu	1338	705	633	822	484	338	72	35	37	8.05	6.74	9.87
CHENGGUAN 	Zhangyelu	2435	1176	1259	1452	786	666	151	74	77	9.42	8.60	10.36
CHENGGUAN 	Gongyuanxang	1659	810	849	1053	564	489	85	46	39	7.47	7.54	7.39
CHENGGUAN 	Linxialu	2354	1186	1168	1369	763	606	186	94	92	11.96	10.97	13.18
CHENGGUAN 	Gulouxang	2511	1234	1277	1563	834	729	157	84	73	9.13	9.15	9.10
CHENGGUAN 	Wuquan	3036	1512	1524	1666	934	732	237	122	115	12.45	11.55	13.58
CHENGGUAN 	Baiyinlu	3845	1826	2019	1967	1054	913	199	109	90	9.19	9.37	8.97
CHENGGUAN 	Gaolanlu	3832	1860	1972	2292	1221	1071	242	119	123	9.55	8.88	10.30
CHENGGUAN 	Guangwumen	3279	1582	1697	1984	1060	924	179	94	85	8.28	8.15	8.42
CHENGGUAN 	Fulongping	720	346	374	337	189	148	105	59	46	23.76	23.79	23.71
CHENGGUAN 	Jingyuanlu	2596	1300	1296	1308	791	517	231	124	107	15.01	13.55	17.15
CHENGGUAN 	Caochangjie	4635	2400	2235	2471	1415	1056	391	222	169	13.66	13.56	13.80
CHENGGUAN 	Huochezhan	4044	2091	1953	2423	1443	980	273	159	114	10.13	9.93	10.42
CHENGGUAN 	Gongxingdun	7712	3820	3892	4040	2376	1664	354	181	173	8.06	7.08	9.42
CHENGGUAN 	Donggangzhen	2591	1358	1233	1114	657	457	152	77	75	12.01	10.49	14.10
CHENGGUAN 	Tuanjiexincun	4305	2197	2108	2234	1287	947	267	152	115	10.68	10.56	10.83
CHENGGUAN 	Donggangxilu	3193	1537	1656	1966	1020	946	192	103	89	8.90	9.17	8.60
CHENGGUAN 	Tieludongcun	2474	1224	1250	1455	807	648	101	49	52	6.49	5.72	7.43
CHENGGUAN 	Tieluxicun	3024	1507	1517	1678	937	741	116	51	65	6.47	5.16	8.06
CHENGGUAN 	Weiyuanlu	7164	3975	3189	2357	1267	1090	226	127	99	8.75	9.11	8.33
CHENGGUAN 	Yantan	6437	3517	2920	4473	2770	1703	321	192	129	6.70	6.48	7.04
CHENGGUAN 	Chengguan	1142	585	557	805	473	332	47	24	23	5.52	4.83	6.48
CHENGGUAN 	Gongxingdun	2061	1053	1008	1540	892	648	65	38	27	4.05	4.09	4
CHENGGUAN 	Qingbaishi	547	282	265	441	240	201	2	1	1	0.45	0.41	0.5
CHENGGUAN 	Gaolanshan	237	119	118	191	101	90	4	1	3	2.05	0.98	3.23
QILIHE 	Total	37919	19792	18127	22098	12762	9336	2506	1410	1096	10.19	9.95	10.51
QILIHE 	Huaping	1938	967	971	953	565	388	180	108	72	15.89	16.05	15.65
QILIHE 	Xiyuan	2754	1389	1365	1443	848	595	259	155	104	15.22	15.45	14.88
QILIHE 	Xihu	5186	2846	2340	2403	1330	1073	286	166	120	10.64	11.10	10.06
QILIHE 	Jianlanlu	3068	1558	1510	1637	929	708	335	174	161	16.99	15.78	18.53
QILIHE 	Dunhuanglu	4073	2111	1962	2236	1299	937	354	186	168	13.67	12.53	15.20
QILIHE 	Xizhan	3127	1684	1443	1908	1167	741	230	117	113	10.76	9.11	13.23
QILIHE 	Yanjiaping	2068	1063	1005	1201	719	482	128	59	69	9.63	7.58	12.52
QILIHE 	Gongjiawan	3007	1562	1445	1422	816	606	186	108	78	11.57	11.69	11.40
QILIHE 	Tumendun	3175	1654	1521	1662	988	674	271	150	121	14.02	13.18	15.22
QILIHE 	Agan	2145	1114	1031	1213	750	463	153	107	46	11.20	12.49	9.04
QILIHE 	Hutan	373	210	163	333	193	140	          	          	          	          	          	          
QILIHE 	Xiguoyuan	1332	681	651	1142	613	529	7	4	3	0.61	0.65	0.56
QILIHE 	Weiling	943	494	449	818	447	371	11	7	4	1.33	1.54	1.07
QILIHE 	Huazhaizi	1215	632	583	930	527	403	27	16	11	2.82	2.95	2.66
QILIHE 	Cuijiaya	1549	805	744	1191	680	511	51	29	22	4.11	4.09	4.13
QILIHE 	Pengjiaping	1150	595	555	894	501	393	27	24	3	2.93	4.57	0.76
QILIHE 	Huangyu	816	427	389	712	390	322	1	          	1	0.14	          	0.31
XIGU 	Total	26606	13614	12992	16444	9309	7135	1159	630	529	6.58	6.34	6.90
XIGU 	Xianfenglu	4212	2145	2067	2351	1275	1076	132	74	58	5.32	5.49	5.11
XIGU 	Fulilu	4817	2424	2393	2610	1418	1192	168	93	75	6.05	6.15	5.92
XIGU 	Chenguanying	1334	719	615	760	478	282	83	50	33	9.85	9.47	10.48
XIGU 	Xigucheng	3899	1964	1935	2383	1339	1044	283	153	130	10.62	10.25	11.07
XIGU 	Lintaojie	1640	846	794	936	556	380	145	86	59	13.41	13.40	13.44
XIGU 	Xiliugou	1988	1065	923	1214	757	457	104	43	61	7.89	5.38	11.78
XIGU 	Xinanlu	913	480	433	538	334	204	28	12	16	4.95	3.47	7.27
XIGU 	Xinhelu	254	129	125	117	71	46	9	3	6	7.14	4.05	11.54
XIGU 	Xincheng	1663	853	810	1118	630	488	45	22	23	3.87	3.37	4.5
XIGU 	Dachuan	448	228	220	395	205	190	9	4	5	2.23	1.91	2.56
XIGU 	Hekou	926	465	461	732	392	340	19	8	11	2.53	2	3.13
XIGU 	Dongchuan	627	314	313	487	259	228	6	6	          	1.22	2.26	          
XIGU 	Liuquan	551	272	279	393	203	190	6	2	4	1.5	0.98	2.06
XIGU 	Xigu	1629	840	789	1111	656	455	82	48	34	6.87	6.82	6.95
XIGU 	Chenping	1395	714	681	1016	590	426	40	26	14	3.79	4.22	3.18
XIGU 	Jingou	310	156	154	283	146	137	          	          	          	          	          	          
ANNING 	Total	16121	8523	7598	7282	4192	3090	577	322	255	7.34	7.13	7.62
ANNING 	Shilidian	4708	2356	2352	1640	964	676	167	86	81	9.24	8.19	10.70
ANNING 	Xilu	7120	3897	3223	2607	1508	1099	206	106	100	7.32	6.57	8.34
ANNING 	Shajingyi	845	485	360	425	293	132	101	57	44	19.20	16.29	25
ANNING 	Shilidian	581	321	260	410	249	161	26	23	3	5.96	8.46	1.83
ANNING 	Kongjiaya	641	319	322	493	262	231	15	7	8	2.95	2.60	3.35
ANNING 	Diaochang	498	244	254	344	182	162	30	19	11	8.02	9.45	6.36
ANNING 	Liujiabao	546	270	276	414	212	202	10	9	1	2.36	4.07	0.49
ANNING 	Anningbao	797	425	372	639	344	295	17	12	5	2.59	3.37	1.67
ANNING 	Shajingyi	385	206	179	310	178	132	5	3	2	1.59	1.66	1.49
HONGGU 	Total	10569	5497	5072	6952	4176	2776	526	284	242	7.03	6.37	8.02
HONGGU 	Yaojie	4479	2373	2106	2399	1646	753	351	201	150	12.76	10.88	16.61
HONGGU 	Haishiwan	2820	1467	1353	1824	1099	725	131	58	73	6.70	5.01	9.15
HONGGU 	Huazhuang	500	247	253	406	206	200	9	6	3	2.17	2.83	1.48
HONGGU 	Pingan	1215	614	601	1015	542	473	15	9	6	1.46	1.63	1.25
HONGGU 	Honggu	1020	522	498	872	450	422	17	8	9	1.91	1.75	2.09
HONGGU 	Heju	535	274	261	436	233	203	3	2	1	0.68	0.85	0.49
YONGDENG 	Total	34527	17379	17148	28022	14825	13197	422	238	184	1.48	1.58	1.38
YONGDENG 	Chengguan	2990	1484	1506	1913	1103	810	177	92	85	8.47	7.70	9.5
YONGDENG 	Hongcheng	1646	787	859	1328	656	672	6	4	2	0.45	0.61	0.30
YONGDENG 	Zhongbao	1899	978	921	1466	822	644	25	8	17	1.68	0.96	2.57
YONGDENG 	Wushengyi	1205	620	585	1040	554	486	7	4	3	0.67	0.72	0.61
YONGDENG 	Heqiao	2713	1423	1290	1989	1149	840	53	34	19	2.60	2.87	2.21
YONGDENG 	Liancheng	2470	1256	1214	2059	1096	963	31	18	13	1.48	1.62	1.33
YONGDENG 	Kushui	2336	1161	1175	1810	936	874	54	38	16	2.90	3.90	1.80
YONGDENG 	Zhongchuan	2276	1141	1135	1890	995	895	11	3	8	0.58	0.30	0.89
YONGDENG 	Qinchuan	2452	1243	1209	2101	1100	1001	1	          	1	0.05	          	0.10
YONGDENG 	Liushu	1222	605	617	999	511	488	10	6	4	0.99	1.16	0.81
YONGDENG 	Datong	1716	829	887	1434	713	721	8	5	3	0.55	0.70	0.41
YONGDENG 	Qingshui	539	277	262	469	254	215	          	          	          	          	          	          
YONGDENG 	Dongshan	533	262	271	458	236	222	1	1	          	0.22	0.42	          
YONGDENG 	Longquansi	929	452	477	706	356	350	10	5	5	1.40	1.39	1.41
YONGDENG 	Shuping	834	419	415	670	356	314	10	9	1	1.47	2.47	0.32
YONGDENG 	Gushan	1722	847	875	1450	742	708	6	4	2	0.41	0.54	0.28
YONGDENG 	Pingcheng	1107	567	540	996	520	476	          	          	          	          	          	          
YONGDENG 	Jinzui	1230	611	619	1153	581	572	3	2	1	0.26	0.34	0.17
YONGDENG 	Minle	1671	879	792	1418	751	667	4	3	1	0.28	0.40	0.15
YONGDENG 	Dayou	1193	612	581	1056	556	500	          	          	          	          	          	          
YONGDENG 	Tongyuan	1178	586	592	1041	540	501	3	          	3	0.29	          	0.60
YONGDENG 	Qishan	666	340	326	576	298	278	2	2	          	0.35	0.67	          
GAOLAN 	Total	11555	5812	5743	9241	4949	4292	159	67	92	1.69	1.34	2.10
GAOLAN 	Chengguan	1275	642	633	739	458	281	106	43	63	12.54	8.58	18.31
GAOLAN 	Xicha	2554	1256	1298	2160	1105	1055	9	3	6	0.41	0.27	0.57
