V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
XI NING CHENGDONG 	Total	217892	112836	105056	23613	6400	17213	10.84	5.67	16.38
XI NING CHENGDONG 	Dongguandajie	24976	13921	11055	2132	631	1501	8.54	4.53	13.58
XI NING CHENGDONG 	Qingzhenxang	23135	11661	11474	2652	658	1994	11.46	5.64	17.38
XI NING CHENGDONG 	Dazhongjie	28529	14383	14146	4019	1119	2900	14.09	7.78	20.5
XI NING CHENGDONG 	Zhoujiaquan	22418	11339	11079	2787	753	2034	12.43	6.64	18.36
XI NING CHENGDONG 	Huochezhan	27857	14356	13501	3322	823	2499	11.93	5.73	18.51
XI NING CHENGDONG 	Bayilu	31738	15864	15874	1758	348	1410	5.54	2.19	8.88
XI NING CHENGDONG 	Linjiaya	19212	10440	8772	3507	1189	2318	18.25	11.39	26.42
XI NING CHENGDONG 	Lejiawan	13382	6389	6993	1245	241	1004	9.30	3.77	14.36
XI NING CHENGDONG 	Yunjiakou	26645	14483	12162	2191	638	1553	8.22	4.41	12.77
XINING CHENGZHONG 	Total	124114	62784	61330	5872	1185	4687	4.73	1.89	7.64
XINING CHENGZHONG 	Yinmajie	21920	10319	11601	840	153	687	3.83	1.48	5.92
XINING CHENGZHONG 	Nantan	27283	13930	13353	1616	333	1283	5.92	2.39	9.61
XINING CHENGZHONG 	Cangmenjie	15499	7685	7814	733	107	626	4.73	1.39	8.01
XINING CHENGZHONG 	Lirangjie	26394	14084	12310	969	281	688	3.67	2	5.59
XINING CHENGZHONG 	Renminjie	12620	6390	6230	497	50	447	3.94	0.78	7.17
XINING CHENGZHONG 	Nanchuandonglu	20398	10376	10022	1217	261	956	5.97	2.52	9.54
XINING CHENGXI 	Total	185949	94273	91676	10038	2518	7520	5.40	2.67	8.20
XINING CHENGXI 	Xiguandajie	31502	16503	14999	1743	759	984	5.53	4.60	6.56
XINING CHENGXI 	Guchengtai	27808	13964	13844	910	126	784	3.27	0.90	5.66
XINING CHENGXI 	Hutai	43221	22077	21144	1815	397	1418	4.20	1.80	6.71
XINING CHENGXI 	Shenglilu	16672	8301	8371	789	115	674	4.73	1.39	8.05
XINING CHENGXI 	Xinghailu	24125	11838	12287	1313	293	1020	5.44	2.48	8.30
XINING CHENGXI 	Nanchuanxilu	30668	15434	15234	2243	508	1735	7.31	3.29	11.39
XINING CHENGXI 	Pengjiazhai	11953	6156	5797	1225	320	905	10.25	5.20	15.61
XINING CHENGBEI 	Total	172767	90785	81982	14246	3721	10525	8.25	4.10	12.84
XINING CHENGBEI 	Chaoyang	42486	23146	19340	2677	716	1961	6.30	3.09	10.14
XINING CHENGBEI 	Xiaoqiao	47600	24990	22610	2869	718	2151	6.03	2.87	9.51
XINING CHENGBEI 	Mafang	16557	8682	7875	1471	377	1094	8.88	4.34	13.89
XINING CHENGBEI 	Sanqi	22889	11768	11121	1054	221	833	4.60	1.88	7.49
XINING CHENGBEI 	Dabaozi	22580	11395	11185	3407	933	2474	15.09	8.19	22.12
XINING CHENGBEI 	Nianlipu	20655	10804	9851	2768	756	2012	13.40	7	20.42
DATONGHUIZUTUZUZHZHIXIAN 	Total	300938	155546	145392	59663	18978	40685	19.83	12.20	27.98
DATONGHUIZUTUZUZHZHIXIAN 	Qiaotou	47914	24410	23504	6685	1725	4960	13.95	7.07	21.10
DATONGHUIZUTUZUZHZHIXIAN 	Chengguan	15880	8129	7751	4312	1418	2894	27.15	17.44	37.34
DATONGHUIZUTUZUZHZHIXIAN 	Taer	12645	6394	6251	3117	996	2121	24.65	15.58	33.93
