;province;county;county_cn;dq6
1;Shandong;LIXIA;???;370102
1;Shandong;JINAN SHIZHONG;??????;370103
1;Shandong;HUAIYIN;???;370104
1;Shandong;TIANQIAO;???;370105
1;Shandong;LICHENG;???;370112
1;Shandong;CHANGQING;???;370123
1;Shandong;PINGYIN;???;370124
1;Shandong;JIYANG;???;370125
1;Shandong;SHANGHE;???;370126
1;Shandong;ZHANGQIU;???;370181
1;Shandong;QINGDAO SHINAN;?????;370202
1;Shandong;QINGDAO SHIBEI;?????;370203
1;Shandong;SIFANG;???;370205
1;Shandong;HUANGDAO;???;370211
1;Shandong;LAOSHAN;???;370212
1;Shandong;LICANG;???;370213
1;Shandong;CHENGYANG;???;370214
1;Shandong;JIAOZHOU;???;370281
1;Shandong;JIMO;???;370282
1;Shandong;PINGDU;???;370283
1;Shandong;JIAONAN;???;370284
1;Shandong;LAIXI;???;370285
1;Shandong;ZICHUAN;???;370302
1;Shandong;ZHANGDIAN;???;370303
1;Shandong;BOSHAN;???;370304
1;Shandong;LINZI;???;370305
1;Shandong;ZHOUCUN;???;370306
1;Shandong;HUANTAI;???;370321
1;Shandong;GAOQING;???;370322
1;Shandong;YIYUAN;???;370323
1;Shandong;SHIZHONG;???;370402
1;Shandong;XUECHENG;???;370403
1;Shandong;YICHENG;???;370404
1;Shandong;TAIERZHUANG;????;370405
1;Shandong;SHANTING;???;370406
1;Shandong;TENGZHOU;???;370481
1;Shandong;DONGYING;???;370502
1;Shandong;HEKOU;???;370503
1;Shandong;KENLI;???;370521
1;Shandong;LIJIN;???;370522
1;Shandong;GUANGRAO;???;370523
1;Shandong;ZHIFU;???;370602
1;Shandong;FUSHAN;???;370611
1;Shandong;MUPING;???;370612
1;Shandong;LAISHAN;???;370613
1;Shandong;CHANGDAO;???;370634
1;Shandong;LONGKOU;???;370681
1;Shandong;LAIYANG;???;370682
1;Shandong;LAIZHOU;???;370683
1;Shandong;PENGLAI;???;370684
1;Shandong;ZHAOYUAN;???;370685
1;Shandong;XIXIA;???;370686
1;Shandong;HAIYANG;???;370687
1;Shandong;WEICHENG;???;370702
1;Shandong;HANTING;???;370703
1;Shandong;FANGZI;???;370704
1;Shandong;KUIWEN;???;370705
1;Shandong;LINQU;???;370724
1;Shandong;CHANGLE;???;370725
1;Shandong;QINGZHOU;???;370781
1;Shandong;ZHUCHENG;???;370782
1;Shandong;SHOUGUANG;???;370783
1;Shandong;ANQIU;???;370784
1;Shandong;GAOMI;???;370785
1;Shandong;CHANGYI;???;370786
1;Shandong;JINING SHIZHONG;?????;370802
1;Shandong;RENCHENG;???;370811
1;Shandong;WEISHAN;???;370826
1;Shandong;YUTAI;???;370827
1;Shandong;JINXIANG;???;370828
1;Shandong;JIAXIANG;???;370829
1;Shandong;WENSHANG;???;370830
1;Shandong;SISHUI;???;370831
1;Shandong;LIANGSHAN;???;370832
1;Shandong;QUFU;???;370881
1;Shandong;YANZHOU;???;370882
1;Shandong;ZOUCHENG;???;370883
1;Shandong;TAISHAN;???;370902
1;Shandong;DAIYUE;???;370903
1;Shandong;NINGYANG;???;370921
1;Shandong;DONGPING;???;370923
1;Shandong;XINTAI;???;370982
1;Shandong;FEICHENG;???;370983
1;Shandong;HUANCUI;???;371002
1;Shandong;WENDENG;???;371081
1;Shandong;RONGCHENG;???;371082
1;Shandong;RUSHAN;???;371083
1;Shandong;DONGGANG;???;371102
1;Shandong;WULIAN;???;371121
1;Shandong;JUXIAN;??;371122
1;Shandong;LAICHENG;???;371202
1;Shandong;GANGCHENG;???;371203
1;Shandong;LANSHAN;???;371302
1;Shandong;LUOZHUANG;???;371311
1;Shandong;HEDONG;???;371312
1;Shandong;YINAN;???;371321
1;Shandong;TANCHENG;???;371322
1;Shandong;YISHUI;???;371323
1;Shandong;CANGSHAN;???;371324
1;Shandong;FEI;??;371325
1;Shandong;PINGYI;???;371326
1;Shandong;JUNAN;???;371327
1;Shandong;MENGYIN;???;371328
1;Shandong;LINSHU;???;371329
1;Shandong;DECHENG;???;371402
1;Shandong;LING;??;371421
1;Shandong;NINGJIN;???;371422
1;Shandong;QINGYUN;???;371423
1;Shandong;LINYI;???;371424
1;Shandong;QIHE;???;371425
1;Shandong;PINGYUAN;???;371426
1;Shandong;XIAJIN;???;371427
1;Shandong;WUCHENG;???;371428
1;Shandong;LELING;???;371481
1;Shandong;YUCHENG;???;371482
1;Shandong;DONGCHANGFU;????;371502
1;Shandong;YANGGU;???;371521
1;Shandong;SHEN;??;371522
1;Shandong;CHIPING;???;371523
1;Shandong;DONGA;???;371524
1;Shandong;GUAN;??;371525
1;Shandong;GAOTANG;???;371526
1;Shandong;LINQING;???;371581
1;Shandong;BINCHENG;???;371602
1;Shandong;HUIMIN;???;371621
1;Shandong;YANGXIN;???;371622
1;Shandong;WUDI;???;371623
1;Shandong;ZHANHUA;???;371624
1;Shandong;BOXING;???;371625
1;Shandong;ZOUPING;???;371626
1;Shandong;MUDAN;???;371702
1;Shandong;CAO;??;371721
1;Shandong;DAN;??;371722
1;Shandong;CHENGWU;???;371723
1;Shandong;JUYE;???;371724
1;Shandong;YUNCHENG;???;371725
1;Shandong;JUANCHENG;???;371726
1;Shandong;DINGTAO;???;371727
1;Shandong;DONGMING;???;371728
2;Jiangsu;XUANWU;???;320102
2;Jiangsu;BAIXIA;???;320103
2;Jiangsu;QINHUAI;???;320104
2;Jiangsu;JIANYE;???;320105
2;Jiangsu;GULOU;???;320106
2;Jiangsu;XIAGUAN;???;320107
2;Jiangsu;PUKOU;???;320111
2;Jiangsu;DACHANG;???;320112
2;Jiangsu;XIXIA;???;320113
2;Jiangsu;YUHUATAI;????;320114
2;Jiangsu;JIANGNING;???;320121
2;Jiangsu;JIANGPU;???;320122
2;Jiangsu;LIUHE;???;320123
2;Jiangsu;LISHUI;???;320124
2;Jiangsu;GAOCHUN;???;320125
2;Jiangsu;CHONGAN;???;320202
2;Jiangsu;NANCHANG;???;320203
2;Jiangsu;BEITANG;???;320204
2;Jiangsu;WUXI JIAOQU;?????;320211
2;Jiangsu;MASHAN;???;320212
2;Jiangsu;JIANGYIN;???;320281
2;Jiangsu;YIXING;???;320282
2;Jiangsu;XISHAN;???;320283
2;Jiangsu;GULOU;???;320302
2;Jiangsu;YUNLONG;???;320303
2;Jiangsu;JIULI;???;320304
2;Jiangsu;JIAWANG;???;320305
2;Jiangsu;QUANSHAN;???;320311
2;Jiangsu;FENGXIAN;??;320321
2;Jiangsu;PEIXIAN;??;320322
2;Jiangsu;TONGSHAN;???;320323
2;Jiangsu;SUINING;???;320324
2;Jiangsu;XINYI;???;320381
2;Jiangsu;PIZHOU;???;320382
2;Jiangsu;TIANNING;???;320402
2;Jiangsu;ZHONGLOU;???;320404
2;Jiangsu;QISHUYAN;????;320405
2;Jiangsu;CHANGZHOU JIAOQU;?????;320411
2;Jiangsu;LIYANG;???;320481
2;Jiangsu;JINTAN;???;320482
2;Jiangsu;WUJIN;???;320483
2;Jiangsu;CANGLANG;???;320502
2;Jiangsu;PINGJIANG;???;320503
2;Jiangsu;JINCHANG;???;320504
2;Jiangsu;HUQIU;???;320505
2;Jiangsu;CHANGSHU;???;320581
2;Jiangsu;ZHANGJIAGANG;????;320582
2;Jiangsu;KUNSHAN;???;320583
2;Jiangsu;WUJIANG;???;320584
2;Jiangsu;TAICANG;???;320585
2;Jiangsu;WUXIAN;???;320586
2;Jiangsu;CHONGCHUAN;???;320602
2;Jiangsu;GANGZHA;???;320611
2;Jiangsu;HAIAN;???;320621
2;Jiangsu;RUDONG;???;320623
2;Jiangsu;QIDONG;???;320681
2;Jiangsu;RUGAO;???;320682
2;Jiangsu;TONGZHOU;???;320683
2;Jiangsu;HAIMEN;???;320684
2;Jiangsu;LIANYUN;???;320703
2;Jiangsu;YUNTAI;???;320704
2;Jiangsu;XINPU;???;320705
2;Jiangsu;HAIZHOU;???;320706
2;Jiangsu;GANYU;???;320721
2;Jiangsu;DONGHAI;???;320722
2;Jiangsu;GUANYUN;???;320723
2;Jiangsu;GUANNAN;???;320724
2;Jiangsu;QINGHE;???;320802
2;Jiangsu;QINGPU;???;320811
2;Jiangsu;HUAIYIN;???;320821
2;Jiangsu;LIANSHUI;???;320826
2;Jiangsu;HONGZE;???;320829
2;Jiangsu;XUYI;???;320830
2;Jiangsu;JINHU;???;320831
2;Jiangsu;HUAIAN;???;320882
2;Jiangsu;YANCHENG CHENGQU;????;320902
2;Jiangsu;XIANGSHUI;???;320921
2;Jiangsu;BINHAI;???;320922
2;Jiangsu;FUNING;???;320923
2;Jiangsu;SHEYANG;???;320924
2;Jiangsu;JIANHU;???;320925
2;Jiangsu;YANDU;???;320928
2;Jiangsu;DONGTAI;???;320981
2;Jiangsu;DAFENG;???;320982
2;Jiangsu;GUANGLING;???;321002
2;Jiangsu;YANGZHOU JIAOQU;?????;321011
2;Jiangsu;BAOYING;???;321023
2;Jiangsu;HANJIANG;???;321027
2;Jiangsu;YIZHENG;???;321081
2;Jiangsu;GAOYOU;???;321084
2;Jiangsu;JIANGDU;???;321088
2;Jiangsu;JINGKOU;???;321102
2;Jiangsu;RUNZHOU;???;321111
2;Jiangsu;DANTU;???;321121
2;Jiangsu;DANYANG;???;321181
2;Jiangsu;YANGZHONG;???;321182
2;Jiangsu;JURONG;???;321183
2;Jiangsu;HAILING;???;321202
2;Jiangsu;GAOGANG;???;321203
2;Jiangsu;XINGHUA;???;321281
2;Jiangsu;JINGJIANG;???;321282
2;Jiangsu;TAIXING;???;321283
2;Jiangsu;JIANGYAN;???;321284
2;Jiangsu;SUCHENG;???;321302
2;Jiangsu;SUYU;???;321321
2;Jiangsu;SHUYANG;???;321322
2;Jiangsu;SIYANG;???;321323
2;Jiangsu;SIHONG;???;321324
3;Heilongjiang;DAOLI;???;230102
3;Heilongjiang;NANGANG;???;230103
3;Heilongjiang;DAOWAI;???;230104
3;Heilongjiang;TAIPING;???;230105
3;Heilongjiang;XIANGFANG;???;230106
3;Heilongjiang;DONGLI;???;230107
3;Heilongjiang;PINGFANG;???;230108
3;Heilongjiang;HULAN;???;230121
3;Heilongjiang;YILAN;???;230123
3;Heilongjiang;FANGZHENG;???;230124
3;Heilongjiang;BINXIAN;??;230125
3;Heilongjiang;BAYAN;???;230126
3;Heilongjiang;MULAN;???;230127
3;Heilongjiang;TONGHE;???;230128
3;Heilongjiang;YANSHOU;???;230129
3;Heilongjiang;ACHENG;???;230181
3;Heilongjiang;SHUANGCHENG;???;230182
3;Heilongjiang;SHANGZHI;???;230183
3;Heilongjiang;WUCHANG;???;230184
3;Heilongjiang;LONGSHA;???;230202
3;Heilongjiang;JIANHUA;???;230203
3;Heilongjiang;TIEFENG;???;230204
3;Heilongjiang;ANGANGXI;????;230205
3;Heilongjiang;FULAERJI;?????;230206
3;Heilongjiang;NIANZISHAN;????;230207
3;Heilongjiang;MEILISIDAWOERZU;????????;230208
3;Heilongjiang;LONGJIANG;???;230221
3;Heilongjiang;YIAN;???;230223
3;Heilongjiang;TAILAI;???;230224
3;Heilongjiang;GANNAN;???;230225
3;Heilongjiang;FUYU;???;230227
3;Heilongjiang;KESHAN;???;230229
3;Heilongjiang;KEDONG;???;230230
3;Heilongjiang;BAIQUAN;???;230231
3;Heilongjiang;NEHE;???;230281
3;Heilongjiang;JIGUAN;???;230302
3;Heilongjiang;HENGSHAN;???;230303
3;Heilongjiang;DIDAO;???;230304
3;Heilongjiang;LISHU;???;230305
3;Heilongjiang;CHENGZIHE;????;230306
3;Heilongjiang;MASHAN;???;230307
3;Heilongjiang;JIDONG;???;230321
3;Heilongjiang;HULIN;???;230381
3;Heilongjiang;MISHAN;???;230382
3;Heilongjiang;XIANGYANG;???;230402
3;Heilongjiang;GONGNONG;???;230403
3;Heilongjiang;NANSHAN;???;230404
3;Heilongjiang;XINGAN;???;230405
3;Heilongjiang;DONGSHAN;???;230406
3;Heilongjiang;XINGSHAN;???;230407
3;Heilongjiang;LUOBEI;???;230421
3;Heilongjiang;SUIBIN;???;230422
3;Heilongjiang;JIANSHAN;???;230502
3;Heilongjiang;LINGDONG;???;230503
3;Heilongjiang;SIFANGTAI;????;230505
3;Heilongjiang;BAOSHAN;???;230506
3;Heilongjiang;JIXIAN;???;230521
3;Heilongjiang;YOUYI;???;230522
3;Heilongjiang;BAOQING;???;230523
3;Heilongjiang;RAOHE;???;230524
3;Heilongjiang;SAERTU;????;230602
3;Heilongjiang;LONGFENG;???;230603
3;Heilongjiang;RANGHULU;????;230604
3;Heilongjiang;HONGGANG;???;230605
3;Heilongjiang;DATONG;???;230606
3;Heilongjiang;ZHAOZHOU;???;230621
3;Heilongjiang;ZHAOYUAN;???;230622
3;Heilongjiang;LINDIAN;???;230623
3;Heilongjiang;DUERBOTEMENGGUZUZIZHIXIAN;??????????;230624
3;Heilongjiang;YICHUN;???;230702
3;Heilongjiang;NANCHA;???;230703
3;Heilongjiang;YOUHAO;???;230704
3;Heilongjiang;XILIN;???;230705
3;Heilongjiang;CUILUAN;???;230706
3;Heilongjiang;XINQING;???;230707
3;Heilongjiang;MEIXI;???;230708
3;Heilongjiang;JINSHANTUN;????;230709
