brandname;Descriptor;UPC;Tobacco weight (mg);Filter density (mg/ml);Rod density (mg/ml);Paper permeability (CORESTA);Ventilation (%);
Baisha;Blue;191098;660.4;109.2;251.5;53.6;0;
Baisha;Combination;191838;693.4;116.9;258.5;52;0;
Baisha;Environmental protection;191432;681.4;114.3;258.2;49;0.3;
Baisha;Red, soft, treasure;192545;693.4;116.7;263.3;50.8;0;
Baisha;Silver lid;191500;690.6;111.8;240.2;52;0;
Baisha;White lid;191029;714.2;113.8;244.9;34.9;0;
Changzheng;Red hard pack;38638;678.2;115.7;241.6;53.9;2.5;
Chunghwa;Lights red;75794;751.2;114;246.7;52;20.9;
Cocopalm;Blue;2097;693.2;114.9;235.6;47.9;2;
Cocopalm;Green;2752;676.4;116.4;229.7;47.1;0.1;
Cocopalm;Red;2233;715;114;255.4;78.5;2.5;
Daqianmen;Soft pack;75916;728.6;117.2;248;55.8;3.9;
Derby;King size, tan;132268;676.8;118.9;236.5;57.2;22.1;
Derby;White, soft pack;126021;669.2;117.8;256.7;45.9;0;
Diaoyutai;Soft;326391;681.2;114.5;246.1;26.5;11.9;
Dihao;Golden hard;170765;687.2;120.4;240.2;46.8;0.5;
Double happiness;Elite;75602;752.8;113.3;255.9;27.4;21.9;
Double happiness;Lights green;75978;703.2;106.3;246.2;54.9;17;
Double happiness;Low tar;75824;726.8;107.1;250.1;52.8;20.7;
Double happiness;Regular;75800;737.8;117.9;243.1;51.6;2.8;
Double happiness;Soft;75817;730.4;113.1;237.9;57.3;3.6;
Double happiness;Super aromatic;75831;633;114.3;230.4;57.4;23.5;
Furong Xiangyan;Soft, gold;199414;699.6;121;244.9;38.1;2.2;
Furongwang;Masterwork;193856;660.4;84.3;255.6;52.2;0.1;
Furongwang;Yellow, lid;193498;729;122.3;248.8;52.6;0.9;
Golden leaf;Light of the century;161145;693.8;112.2;239.8;43.2;0.1;
Good fortune;Light red;50371;634.2;112.8;237.1;51.5;0.3;
Happiness;King size, red;50678;698.6;119.5;246.9;54.5;1.7;
