作者,文章名称,出处,时间,有无数据,有无代码,期刊分类
Michaël Rubens; WU Ying-jie; Mingzhi Xu,Estimating factor price markdowns using production models,International Journal of Industrial Organization,2025,未知,未知,国际A2
John R. Birge; Hongfan Chen; N. Bora Keskin,Markdown Policies for Demand Learning with Forward-Looking Customers,Operations Research,2025,未知,未知,国际A+
Rémi Avignon; Claire Chambolle; Etienne Guigue; Hugo Molina,"Markups, Markdowns, and Bargaining in a Vertical Supply Chain",SSRN Electronic Journal,2025,未知,未知,未列/需核验
Mostafa Setak; Madjid Tavana; Hossein Talafi Daryani,A two-level supply chain coordination model for perishable products under optimal markdown time and trade credit policies,OPSEARCH,2024,未知,未知,未列/需核验
Andrew Vakhutinsky,CHAPTER ELEVEN Retail Markdown Optimization under Demand Parameter Uncertainty,University of Toronto Press eBooks,2024,未知,未知,未列/需核验
Yongbo Xiao; Chen Hu; Qian Liu,Managing demand by upgrade programs and markdown pricing with a product rollover,Naval Research Logistics (NRL),2023,未知,未知,未列/需核验
Saravanya Sankarakumaraswamy; Arshinder Kaur; Chandrasekharan Rajendran; Hans Ziegler,A Study on Inventory Models for Perishable Items in a Serial Supply Chain Operating with Price Markdowns,Asset analytics,2022,未知,未知,未列/需核验
Mustafa Hekimoğlu,Markdown Optimization with Generalized Weighted Least Squares Estimation,International Journal of Computational Intelligence Systems,2022,未知,未知,未列/需核验
Aidin Namin; Gonca Soysal; Brian T. Ratchford,Alleviating demand uncertainty for seasonal goods: An analysis of attribute-based markdown policy for fashion retailers,Journal of Business Research,2022,未知,未知,国际A2
Ning Li; Xue Qiao; Zheng Wang,"Joint markdown, ordering and freshness-keeping policy under demand competition between new and old products",Journal of the Operational Research Society,2022,未知,未知,国际B1
Haijiao Li; Kuan Yang; Janny Leung; Guoqing Zhang,Markdown pricing strategy under a dual-channel supply chain with strategic consumers,RAIRO. Operations research,2022,未知,未知,未列/需核验
S.R. Singh; Monika Rani,An EPQ model with life-time items with multivariate demandwith markdown policy under shortages and inflation,Journal of Physics Conference Series,2021,未知,未知,未列/需核验
