Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;1993;1993;USD;137.8;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;1994;1994;USD;141.9;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;1995;1995;USD;169.4;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;1996;1996;USD;169.6;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;1997;1997;USD;153.2;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;1998;1998;USD;138.9;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;1999;1999;USD;159.5;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2000;2000;USD;53.4;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2001;2001;USD;57.7;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2002;2002;USD;59.7;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2003;2003;USD;92.6;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2004;2004;USD;125.6;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2005;2005;USD;160.1;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2006;2006;USD;198.8;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2007;2007;USD;244.2;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2008;2008;USD;306.5;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2009;2009;USD;344.1;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2011;2011;USD;393.2;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2012;2012;USD;443.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2013;2013;USD;544;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2014;2014;USD;347;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2015;2015;USD;404.2;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2016;2016;USD;527.1;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;1993;1993;USD;110.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;1994;1994;USD;79.6;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;1995;1995;USD;117;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;1996;1996;USD;119.8;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;1997;1997;USD;106.4;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;1998;1998;USD;82.9;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;1999;1999;USD;84.2;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2000;2000;USD;74;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2001;2001;USD;92.4;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2002;2002;USD;81.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2003;2003;USD;100.6;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2004;2004;USD;119.9;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2005;2005;USD;140.5;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2006;2006;USD;164.4;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2007;2007;USD;193.4;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2008;2008;USD;234.5;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2009;2009;USD;257.7;;Official data
