Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1961;1961;ha;36362;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1962;1962;ha;36383;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1963;1963;ha;41394;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1964;1964;ha;41438;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1965;1965;ha;41978;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1966;1966;ha;42764;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1967;1967;ha;44563;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1968;1968;ha;45921;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1969;1969;ha;49886;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1970;1970;ha;49963;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1971;1971;ha;51178;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1972;1972;ha;51994;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1973;1973;ha;52243;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1974;1974;ha;53897;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1975;1975;ha;55138;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1976;1976;ha;55715;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1977;1977;ha;57345;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1978;1978;ha;59351;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1979;1979;ha;60353;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1980;1980;ha;61987;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1981;1981;ha;63110;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5312;Area harvested;393;Cauliflowers and broccoli;1982;1982;ha;63266;A;Aggregate, may include official, semi-official, estimated or calculated data
