Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1961;1961;hg/ha;12460;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1962;1962;hg/ha;12548;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1963;1963;hg/ha;12797;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1964;1964;hg/ha;13932;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1965;1965;hg/ha;15112;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1966;1966;hg/ha;16945;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1967;1967;hg/ha;16979;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1968;1968;hg/ha;21081;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1969;1969;hg/ha;19372;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1970;1970;hg/ha;20449;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1971;1971;hg/ha;20012;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1972;1972;hg/ha;19922;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1973;1973;hg/ha;21422;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1974;1974;hg/ha;20916;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1975;1975;hg/ha;17052;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1976;1976;hg/ha;14713;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1977;1977;hg/ha;14249;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1978;1978;hg/ha;15970;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1979;1979;hg/ha;15199;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1980;1980;hg/ha;17673;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1981;1981;hg/ha;19853;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1982;1982;hg/ha;19452;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1983;1983;hg/ha;18083;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1984;1984;hg/ha;20037;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1985;1985;hg/ha;18533;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1986;1986;hg/ha;15279;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1987;1987;hg/ha;17299;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1988;1988;hg/ha;17621;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1989;1989;hg/ha;15777;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1990;1990;hg/ha;16533;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1991;1991;hg/ha;16840;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1992;1992;hg/ha;16738;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1993;1993;hg/ha;16544;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1994;1994;hg/ha;15078;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1995;1995;hg/ha;15774;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1996;1996;hg/ha;17475;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1997;1997;hg/ha;18079;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1998;1998;hg/ha;17387;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;1999;1999;hg/ha;17986;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2000;2000;hg/ha;17786;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2001;2001;hg/ha;17555;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2002;2002;hg/ha;18443;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2003;2003;hg/ha;17863;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2004;2004;hg/ha;19021;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2005;2005;hg/ha;19686;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2006;2006;hg/ha;20511;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2007;2007;hg/ha;20585;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2008;2008;hg/ha;21406;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2009;2009;hg/ha;22044;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2010;2010;hg/ha;22337;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2011;2011;hg/ha;21604;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2012;2012;hg/ha;21338;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2013;2013;hg/ha;20791;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2014;2014;hg/ha;20475;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2015;2015;hg/ha;21557;Fc;Calculated data
QC;Crops;351;China;5419;Yield;826;Tobacco, unmanufactured;2016;2016;hg/ha;22284;Fc;Calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1961;1961;tonnes;395854;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1962;1962;tonnes;436077;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1963;1963;tonnes;497413;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1964;1964;tonnes;569379;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1965;1965;tonnes;616301;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1966;1966;tonnes;804254;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1967;1967;tonnes;865935;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1968;1968;tonnes;868844;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1969;1969;tonnes;796109;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1970;1970;tonnes;805800;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1971;1971;tonnes;801808;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1972;1972;tonnes;856417;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1973;1973;tonnes;967883;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1974;1974;tonnes;1001713;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1975;1975;tonnes;978109;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1976;1976;tonnes;996433;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1977;1977;tonnes;1011695;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1978;1978;tonnes;1264129;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1979;1979;tonnes;962876;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1980;1980;tonnes;919747;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1981;1981;tonnes;1519718;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1982;1982;tonnes;2204570;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1983;1983;tonnes;1403322;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1984;1984;tonnes;1815491;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1985;1985;tonnes;2450207;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1986;1986;tonnes;1731464;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1987;1987;tonnes;1967005;A;Aggregate, may include official, semi-official, estimated or calculated data
QC;Crops;351;China;5510;Production;826;Tobacco, unmanufactured;1988;1988;tonnes;2754206;A;Aggregate, may include official, semi-official, estimated or calculated data
