V01301 V04001 V11046 V11211_CHAR V10302 V12012 V10301 V12011 V13305 V10004_701 V11291_701 V12001_701 V13004_701 V13003_701 V12012_701 V12011_701 V13353 V14033 V14032 V13033 V13032 V11042 V11296_CHAR V13052 V13007
53898 1997 15.8000 999010 986.7000 -9.2000 1035.6000 40.2000 327.8000 1008.2000 2.0000 15.0000 13.0000 64.0000 10.1000 20.3000 48 50.0000 2227.4000 999999.0000 2039.7000 9.8000 999010 53.7000 999999.0000 
53898 1998 36.9000 999001 984.9000 -11.4000 1033.2000 37.1000 852.9000 1007.3000 2.4000 15.4000 13.8000 65.0000 10.8000 20.6000 63 43.0000 1886.5000 999999.0000 1817.8000 15.8000 999005 156.3000 999999.0000 
53898 1999 18.1000 999010 988.1000 -8.9000 1033.8000 38.1000 396.4000 1007.8000 2.8000 15.2000 13.2000 63.0000 10.7000 20.5000 52 48.0000 2134.7000 999999.0000 1873.7000 11.4000 999009 60.7000 999999.0000 
53898 2000 19.4000 999015 986.5000 -11.6000 1040.5000 39.8000 773.7000 1008.2000 2.6000 14.5000 13.0000 66.0000 10.2000 19.4000 62 46.0000 2038.6000 999999.0000 1910.9000 10.7000 999002 221.4000 999999.0000 
53898 2001 20.0000 999015 986.1000 -11.1000 1033.7000 38.6000 453.2000 1008.5000 2.8000 14.7000 12.8000 65.0000 10.4000 19.7000 73 44.0000 1969.5000 999999.0000 1858.9000 12.8000 999015 95.2000 999999.0000 
53898 2002 17.3000 999983 986.7000 -17.0000 1036.0000 41.8000 355.9000 1009.3000 3.0000 14.0000 12.5000 67.0000 8.4000 20.3000 70 46.0000 2023.2000 999999.0000 999999.0000 12.6000 999009 56.0000 999999.0000 
53898 2004 23.1000 999003 983.6000 -16.5000 1035.9000 37.4000 622.8000 1009.2000 2.8000 13.8000 12.8000 69.0000 8.5000 20.1000 81 45.0000 1979.7000 999999.0000 999999.0000 15.4000 999003 51.6000 999999.0000 
53898 2005 32.5000 999012 986.0000 -17.0000 1035.4000 41.3000 999999.0000 1009.0000 2.3000 13.7000 12.8000 66.0000 8.5000 19.8000 999999 44.0000 1971.7000 999999.0000 999999.0000 13.8000 999012 97.4000 999999.0000 
53898 2006 28.1000 999014 983.4000 -11.4000 1040.6000 40.6000 459.4000 1008.5000 2.3000 14.3000 12.9000 69.0000 9.3000 20.3000 67 39.0000 1729.9000 999999.0000 999999.0000 17.4000 999014 50.1000 999999.0000 
53898 2007 16.1000 999016 983.9000 -9.3000 1031.7000 38.3000 999999.0000 1008.8000 2.1000 14.2000 12.6000 67.0000 9.1000 20.2000 999999 37.0000 1647.4000 999999.0000 999999.0000 11.1000 999008 59.4000 999999.0000 
53898 2008 29.4000 999004 986.8000 -15.5000 1039.7000 37.4000 494.3000 1009.2000 2.0000 14.0000 13.0000 66.0000 8.8000 20.0000 75 42.0000 1856.3000 999999.0000 999999.0000 17.0000 999004 50.1000 999999.0000 
57083 1997 20.4000 999015 982.2000 -10.1000 1030.4000 38.9000 380.6000 1003.8000 2.2000 14.9000 12.6000 65.0000 9.7000 20.8000 71 49.0000 2181.8000 999999.0000 1930.1000 12.2000 999015 56.2000 999999.0000 
57083 1998 17.9000 999014 981.5000 -9.0000 1029.1000 37.7000 781.8000 1003.1000 2.3000 15.5000 14.1000 68.0000 10.8000 21.1000 69 44.0000 1940.3000 999999.0000 1670.8000 10.4000 999982 110.2000 999999.0000 
57083 1999 21.9000 999999 984.4000 -8.7000 1029.7000 38.0000 616.9000 1003.4000 2.3000 15.5000 13.4000 64.0000 10.7000 21.2000 61 47.0000 2100.2000 999999.0000 1690.4000 12.2000 999014 83.8000 999999.0000 
57083 2000 17.7000 999003 982.7000 -10.2000 1034.0000 38.4000 637.1000 1003.3000 2.3000 15.0000 13.2000 67.0000 10.5000 20.1000 89 42.0000 1880.4000 999999.0000 1779.4000 9.9000 999015 69.3000 999999.0000 
57083 2001 22.0000 999003 983.6000 -10.2000 1029.3000 39.1000 401.8000 1003.6000 2.3000 15.1000 12.7000 64.0000 10.4000 20.3000 80 46.0000 2045.2000 999999.0000 1783.9000 10.5000 999015 53.2000 999999.0000 
57083 2002 21.3000 999001 982.4000 -9.9000 1029.3000 41.5000 599.3000 1003.3000 2.3000 15.6000 12.7000 63.0000 11.0000 21.1000 76 43.0000 1899.1000 999999.0000 999999.0000 11.3000 999016 92.6000 999999.0000 
57083 2004 27.7000 999002 980.2000 -8.2000 1029.3000 39.3000 767.4000 1003.7000 2.2000 15.5000 12.9000 62.0000 10.7000 20.9000 85 40.0000 1764.2000 999999.0000 999999.0000 12.4000 999016 73.7000 999999.0000 
57083 2005 17.0000 999013 982.6000 -7.8000 1030.0000 40.6000 728.8000 1003.6000 2.2000 14.9000 12.3000 59.0000 10.5000 20.1000 75 39.0000 1740.9000 999999.0000 999999.0000 10.4000 999015 118.2000 999999.0000 
57083 2006 18.7000 999003 979.6000 -7.4000 1033.5000 40.1000 692.6000 1003.1000 2.1000 15.8000 12.8000 62.0000 11.4000 21.1000 77 41.0000 1804.2000 999999.0000 999999.0000 10.7000 999003 79.8000 999999.0000 
57083 2007 16.5000 999015 979.3000 -5.0000 1025.8000 39.7000 999999.0000 1003.3000 2.0000 16.0000 12.4000 60.0000 11.6000 21.2000 999999 39.0000 1747.2000 999999.0000 999999.0000 10.8000 999006 112.6000 999999.0000 
57083 2008 17.2000 999001 982.6000 -10.2000 1034.5000 37.4000 658.2000 1003.6000 2.1000 15.6000 12.6000 58.0000 11.1000 20.9000 70 42.0000 1850.6000 999999.0000 999999.0000 10.0000 999013 160.7000 999999.0000 
57290 1997 16.7000 999014 987.1000 -10.5000 1033.1000 37.9000 544.0000 1006.9000 2.5000 15.7000 13.8000 69.0000 10.8000 21.1000 81 47.0000 2069.1000 999999.0000 1678.7000 9.8000 999015 69.0000 999999.0000 
57290 1998 22.3000 999015 984.8000 -10.5000 1032.2000 37.0000 1350.3000 1005.7000 2.4000 16.0000 15.5000 74.0000 11.6000 21.1000 97 40.0000 1778.0000 999999.0000 1428.0000 13.3000 999015 82.7000 999999.0000 
57290 1999 19.0000 999015 987.0000 -8.9000 1033.6000 38.8000 644.3000 1005.9000 2.1000 15.9000 14.6000 70.0000 11.3000 21.2000 80 42.0000 1869.4000 906.2000 1412.9000 11.2000 999015 62.8000 999999.0000 
57290 2000 21.9000 999008 986.7000 -11.7000 1036.8000 37.5000 1575.0000 1006.1000 2.1000 15.4000 14.8000 73.0000 11.3000 20.1000 120 39.0000 1734.0000 999999.0000 1375.7000 10.5000 999011 155.2000 999999.0000 
57290 2001 19.4000 999014 988.4000 -9.5000 1033.1000 41.2000 622.0000 1006.7000 2.1000 15.6000 14.0000 70.0000 11.4000 20.7000 91 42.0000 1848.8000 999999.0000 1577.9000 11.2000 999011 110.5000 999999.0000 
57290 2002 15.6000 999015 986.2000 -7.9000 1032.5000 39.0000 884.8000 1006.4000 2.1000 15.9000 14.9000 73.0000 11.8000 21.1000 93 42.0000 1864.0000 999999.0000 999999.0000 9.6000 999013 103.1000 999999.0000 
57290 2004 21.0000 999013 985.4000 -8.5000 1031.2000 37.7000 712.2000 1006.7000 2.1000 16.0000 14.4000 70.0000 11.5000 21.3000 92 43.0000 1913.2000 999999.0000 999999.0000 11.8000 999012 77.5000 999999.0000 
57290 2005 22.8000 999001 983.8000 -11.0000 1032.4000 38.7000 1394.3000 1006.7000 1.7000 15.1000 14.1000 69.0000 11.1000 20.0000 110 41.0000 1816.8000 999999.0000 999999.0000 11.4000 999016 164.8000 999999.0000 
57290 2006 20.1000 999003 983.7000 -7.8000 1034.5000 39.3000 1076.2000 1006.2000 1.8000 16.1000 14.4000 70.0000 12.0000 21.2000 95 42.0000 1864.2000 999999.0000 999999.0000 10.3000 999013 142.9000 999999.0000 
57290 2007 16.8000 999015 984.3000 -3.9000 1027.9000 36.8000 1153.2000 1006.3000 1.5000 16.1000 14.7000 70.0000 12.2000 21.1000 99 41.0000 1794.2000 999999.0000 999999.0000 8.6000 999016 124.2000 999999.0000 
57290 2008 19.6000 999011 986.5000 -9.5000 1037.3000 35.2000 989.1000 1006.9000 1.5000 15.5000 13.9000 67.0000 11.5000 20.5000 85 42.0000 1875.2000 999999.0000 999999.0000 8.2000 999014 120.6000 999999.0000 
57297 1997 21.5000 999001 985.4000 -7.5000 1028.8000 36.4000 929.3000 1003.7000 2.7000 15.9000 14.7000 73.0000 11.5000 21.2000 102 47.0000 2074.4000 1010.5000 1493.8000 13.3000 999016 170.8000 999999.0000 
57297 1998 21.9000 999001 982.4000 -10.8000 1028.4000 37.3000 1215.3000 1002.7000 2.8000 16.3000 15.9000 75.0000 12.3000 21.4000 115 44.0000 1927.1000 895.8000 1384.7000 13.4000 999015 152.1000 999999.0000 
57297 1999 28.8000 999003 983.5000 -8.0000 1029.8000 39.1000 743.1000 1002.6000 2.7000 16.2000 15.0000 72.0000 11.8000 21.4000 98 44.0000 1936.3000 952.2000 1411.9000 16.4000 999005 68.6000 999999.0000 
