V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
DAOLI 	Total	239810	100	61466	25.63	143334	59.77	34499	14.39	511	0.21	          	          
DAOLI 	Fushun	13233	100	3249	24.55	8243	62.29	1723	13.02	18	0.14	          	          
DAOLI 	Gongnong	12636	100	3736	29.57	7748	61.32	1145	9.06	7	0.06	          	          
DAOLI 	Chengxianglu	10506	100	2635	25.08	6644	63.24	1213	11.55	14	0.13	          	          
DAOLI 	Kangan	10234	100	2902	28.36	6260	61.17	1059	10.35	13	0.13	          	          
DAOLI 	Xinhua	11963	100	3594	30.04	7104	59.38	1256	10.5	9	0.08	          	          
DAOLI 	Gongle	18400	100	4752	25.83	11230	61.03	2402	13.05	16	0.09	          	          
DAOLI 	Jianguo	15029	100	4015	26.72	9170	61.02	1831	12.18	13	0.09	          	          
DAOLI 	Zhengyanghe	18199	100	4781	26.27	10764	59.15	2617	14.38	37	0.20	          	          
DAOLI 	Xinyanglu	10254	100	2741	26.73	5968	58.20	1516	14.78	29	0.28	          	          
DAOLI 	Anhe	9802	100	2588	26.40	5928	60.48	1266	12.92	20	0.20	          	          
DAOLI 	Anjing	17894	100	4269	23.86	10214	57.08	3373	18.85	38	0.21	          	          
DAOLI 	Gongcheng	12952	100	3529	27.25	7404	57.16	1995	15.40	24	0.19	          	          
DAOLI 	Jingwei	11528	100	3167	27.47	6521	56.57	1816	15.75	24	0.21	          	          
DAOLI 	Sidalin	6319	100	1514	23.96	3466	54.85	1325	20.97	14	0.22	          	          
DAOLI 	Tongjiang	8658	100	2689	31.06	4584	52.95	1373	15.86	12	0.14	          	          
DAOLI 	Shangzhi	3275	100	1056	32.24	1739	53.10	474	14.47	6	0.18	          	          
DAOLI 	Zhaolin	6788	100	2042	30.08	3766	55.48	968	14.26	12	0.18	          	          
DAOLI 	Taiping	7985	100	1142	14.30	4932	61.77	1845	23.11	66	0.83	          	          
DAOLI 	Xinnong	8467	100	1706	20.15	5241	61.90	1476	17.43	44	0.52	          	          
DAOLI 	Xinfa	15366	100	3286	21.38	9827	63.95	2199	14.31	54	0.35	          	          
DAOLI 	Yushu	5750	100	960	16.70	3781	65.76	987	17.17	22	0.38	          	          
DAOLI 	Qunli	4572	100	1113	24.34	2800	61.24	640	14	19	0.42	          	          
NANGANG 	Total	283633	100	74988	26.44	169249	59.67	38844	13.70	551	0.19	1	          
NANGANG 	Dacheng	11495	100	2891	25.15	7195	62.59	1401	12.19	8	0.07	          	          
NANGANG 	Liaoyuan	16574	100	4035	24.35	9876	59.59	2617	15.79	46	0.28	          	          
NANGANG 	Songhuajiang	12779	100	3425	26.80	7243	56.68	2092	16.37	18	0.14	1	0.01
NANGANG 	Huayuan	10555	100	2940	27.85	6009	56.93	1581	14.98	25	0.24	          	          
NANGANG 	Quxian	8709	100	2384	27.37	5097	58.53	1210	13.89	18	0.21	          	          
NANGANG 	Tongda	11701	100	3175	27.13	6979	59.64	1528	13.06	19	0.16	          	          
NANGANG 	Qizheng	13911	100	3419	24.58	8566	61.58	1898	13.64	28	0.20	          	          
NANGANG 	Hexinglu	27033	100	7208	26.66	16070	59.45	3699	13.68	56	0.21	          	          
NANGANG 	Haxi	12681	100	3750	29.57	7362	58.06	1550	12.22	19	0.15	          	          
NANGANG 	Baojian	17602	100	5286	30.03	10234	58.14	2060	11.70	22	0.12	          	          
NANGANG 	Rongshi	20866	100	4416	21.16	12094	57.96	4282	20.52	74	0.35	          	          
NANGANG 	Fendoulu	21275	100	5702	26.80	12576	59.11	2952	13.88	45	0.21	          	          
NANGANG 	Lujia	28254	100	8497	30.07	16692	59.08	3025	10.71	40	0.14	          	          
NANGANG 	Gexin	11104	100	3107	27.98	6262	56.39	1720	15.49	15	0.14	          	          
NANGANG 	Wenhua	11883	100	3106	26.14	7287	61.32	1473	12.40	17	0.14	          	          
NANGANG 	Xianfenglu	11064	100	2846	25.72	7057	63.78	1142	10.32	19	0.17	          	          
NANGANG 	Xinchun	15673	100	4876	31.11	9393	59.93	1387	8.85	17	0.11	          	          
NANGANG 	Wanggang	15169	100	3201	21.10	9770	64.41	2157	14.22	41	0.27	          	          
NANGANG 	Hongqimanzu	5305	100	724	13.65	3487	65.73	1070	20.17	24	0.45	          	          
DAOWAI 	Total	126958	100	34420	27.11	75151	59.19	17196	13.54	190	0.15	1	          
DAOWAI 	Daxing	12630	100	3359	26.60	7420	58.75	1834	14.52	17	0.13	          	          
DAOWAI 	Nanma	11698	100	3249	27.77	6840	58.47	1592	13.61	17	0.15	          	          
DAOWAI 	Shengli	6197	100	2087	33.68	3389	54.69	719	11.60	2	0.03	          	          
DAOWAI 	Jingyu	11994	100	3717	30.99	6715	55.99	1544	12.87	18	0.15	          	          
DAOWAI 	Binjiang	11642	100	3104	26.66	7004	60.16	1519	13.05	15	0.13	          	          
DAOWAI 	Dongyuan	9215	100	2501	27.14	5398	58.58	1309	14.21	7	0.08	          	          
DAOWAI 	Chongjian	5101	100	1605	31.46	2933	57.5	559	10.96	4	0.08	          	          
DAOWAI 	Taigu	7242	100	1911	26.39	4335	59.86	986	13.62	10	0.14	          	          
DAOWAI 	Renli	8192	100	2583	31.53	4589	56.02	1012	12.35	8	0.10	          	          
DAOWAI 	Donglai	5412	100	1636	30.23	3107	57.41	666	12.31	3	0.06	          	          
DAOWAI 	Nanshi	3095	100	771	24.91	1812	58.55	506	16.35	6	0.19	          	          
DAOWAI 	Zhenjiang	3917	100	1087	27.75	2301	58.74	524	13.38	4	0.10	1	0.03
DAOWAI 	Taiyangdao	558	100	202	36.20	266	47.67	90	16.13	          	          	          	          
DAOWAI 	Sandian	1652	100	494	29.90	1052	63.68	105	6.36	1	0.06	          	          
DAOWAI 	Songpu	13106	100	3262	24.89	8277	63.15	1543	11.77	24	0.18	          	          
DAOWAI 	Songbei	7746	100	1595	20.59	5054	65.25	1078	13.92	19	0.25	          	          
