V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
FURONG 	Total	342009	179342	162667	5564	996	4568	1.63	0.56	2.81
FURONG 	Wenyilu	34638	17573	17065	392	46	346	1.13	0.26	2.03
FURONG 	Chaoyangjie	40813	20344	20469	585	71	514	1.43	0.35	2.51
FURONG 	Jiucaiyuan	38037	18494	19543	436	58	378	1.15	0.31	1.93
FURONG 	Liuzhengjie	11906	6049	5857	199	33	166	1.67	0.55	2.83
FURONG 	Jiefanglu	12841	6020	6821	325	45	280	2.53	0.75	4.10
FURONG 	Fuhoujie	11374	5664	5710	222	22	200	1.95	0.39	3.5
FURONG 	Duzhengjie	11991	6525	5466	242	32	210	2.02	0.49	3.84
FURONG 	Wulipai	14058	7035	7023	196	29	167	1.39	0.41	2.38
FURONG 	Huoxing	21091	10858	10233	257	43	214	1.22	0.40	2.09
FURONG 	Mawangdui	41250	22712	18538	775	167	608	1.88	0.74	3.28
FURONG 	Dongtundu	28851	15722	13129	798	192	606	2.77	1.22	4.62
FURONG 	Xianghu	13454	8713	4741	220	66	154	1.64	0.76	3.25
FURONG 	Dongan	61705	33633	28072	917	192	725	1.49	0.57	2.58
TIANXIN 	Total	349831	179031	170800	6741	1221	5520	1.93	0.68	3.23
TIANXIN 	Shuyuanlu	32005	16016	15989	871	266	605	2.72	1.66	3.78
TIANXIN 	Pozijie	18258	8984	9274	471	61	410	2.58	0.68	4.42
TIANXIN 	Xueyuanjie	18388	8863	9525	671	87	584	3.65	0.98	6.13
TIANXIN 	Chengnanlu	35834	17664	18170	630	76	554	1.76	0.43	3.05
TIANXIN 	Yunanjie	58939	29341	29598	1292	206	1086	2.19	0.70	3.67
TIANXIN 	Jinpenling	71765	39657	32108	858	146	712	1.20	0.37	2.22
TIANXIN 	Xinkaipu	79857	41153	38704	945	173	772	1.18	0.42	1.99
TIANXIN 	Datuo	34785	17353	17432	1003	206	797	2.88	1.19	4.57
YUELU 	Total	363043	194072	168971	5615	1039	4576	1.55	0.54	2.71
YUELU 	Wangyuehu	27777	13484	14293	532	56	476	1.92	0.42	3.33
YUELU 	Yuelu	58644	33295	25349	779	124	655	1.33	0.37	2.58
YUELU 	Juzizhou	87293	48873	38420	916	207	709	1.05	0.42	1.85
YUELU 	Yinpenling	36460	18162	18298	542	73	469	1.49	0.40	2.56
YUELU 	Guanshaling	28977	14686	14291	767	131	636	2.65	0.89	4.45
YUELU 	Wangchengpo	26786	14266	12520	314	68	246	1.17	0.48	1.96
YUELU 	Xihu	36640	19845	16795	408	82	326	1.11	0.41	1.94
YUELU 	Xianjiahu	3031	1622	1409	66	18	48	2.18	1.11	3.41
YUELU 	Dongfanghong	12581	6564	6017	326	90	236	2.59	1.37	3.92
YUELU 	Wangyue	17561	8932	8629	266	54	212	1.51	0.60	2.46
YUELU 	Tianding	27293	14343	12950	699	136	563	2.56	0.95	4.35
KAIFU 	Total	363749	181870	181879	6918	1094	5824	1.90	0.60	3.20
KAIFU 	Jinxialu	3386	1795	1591	80	13	67	2.36	0.72	4.21
KAIFU 	Shangdalong	27819	14235	13584	584	96	488	2.10	0.67	3.59
KAIFU 	Qingshuitang	11727	5718	6009	158	18	140	1.35	0.31	2.33
KAIFU 	Wangluyuan	24761	11469	13292	369	36	333	1.49	0.31	2.51
KAIFU 	Beizhanlu	43324	21054	22270	720	87	633	1.66	0.41	2.84
KAIFU 	Wujialing	37948	19543	18405	551	85	466	1.45	0.43	2.53
KAIFU 	Minzhudongjie	21105	10030	11075	385	54	331	1.82	0.54	2.99
KAIFU 	Heishidu	33004	15813	17191	543	76	467	1.65	0.48	2.72
KAIFU 	Xinhe	36053	18789	17264	634	95	539	1.76	0.51	3.12
KAIFU 	Tongtaijie	14388	6940	7448	437	51	386	3.04	0.73	5.18
KAIFU 	Xichangjie	15547	7563	7984	518	84	434	3.33	1.11	5.44
KAIFU 	Ruyijie	7892	3888	4004	229	27	202	2.90	0.69	5.04
KAIFU 	Sifangping	9438	5002	4436	218	51	167	2.31	1.02	3.76
KAIFU 	Laodaohe	40979	21300	19679	709	165	544	1.73	0.77	2.76
KAIFU 	Xianing	13805	7043	6762	201	37	164	1.46	0.53	2.43
KAIFU 	Zonghenongchang	22573	11688	10885	582	119	463	2.58	1.02	4.25
YUHUA 	Total	437490	225796	211694	5915	986	4929	1.35	0.44	2.33
YUHUA 	Houjiatang	46710	23253	23457	492	82	410	1.05	0.35	1.75
YUHUA 	Zuojiatang	89479	44973	44506	1040	130	910	1.16	0.29	2.04
