V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
FURONG 	Total	112259	100	42111	37.51	58337	51.97	11631	10.36	180	0.16	          	          
FURONG 	Wenyilu	11476	100	3805	33.16	6218	54.18	1436	12.51	17	0.15	          	          
FURONG 	Chaoyangjie	14655	100	4822	32.90	8165	55.71	1644	11.22	24	0.16	          	          
FURONG 	Jiucaiyuan	12639	100	3975	31.45	7078	56	1551	12.27	35	0.28	          	          
FURONG 	Liuzhengjie	4152	100	1469	35.38	2141	51.57	535	12.89	7	0.17	          	          
FURONG 	Jiefanglu	4735	100	1769	37.36	2341	49.44	616	13.01	9	0.19	          	          
FURONG 	Fuhoujie	4062	100	1547	38.08	2006	49.38	501	12.33	8	0.20	          	          
FURONG 	Duzhengjie	4044	100	1462	36.15	2062	50.99	514	12.71	6	0.15	          	          
FURONG 	Wulipai	4753	100	1804	37.95	2507	52.75	437	9.19	5	0.11	          	          
FURONG 	Huoxing	7976	100	3021	37.88	4388	55.02	558	7	9	0.11	          	          
FURONG 	Mawangdui	14893	100	6237	41.88	7557	50.74	1082	7.27	17	0.11	          	          
FURONG 	Dongtundu	11422	100	5707	49.96	5107	44.71	600	5.25	8	0.07	          	          
FURONG 	Xianghu	3267	100	1536	47.02	1513	46.31	215	6.58	3	0.09	          	          
FURONG 	Dongan	14185	100	4957	34.95	7254	51.14	1942	13.69	32	0.23	          	          
TIANXIN 	Total	111727	100	38435	34.40	60604	54.24	12505	11.19	182	0.16	1	          
TIANXIN 	Shuyuanlu	10559	100	3498	33.13	5529	52.36	1512	14.32	20	0.19	          	          
TIANXIN 	Pozijie	7175	100	2896	40.36	3558	49.59	712	9.92	9	0.13	          	          
TIANXIN 	Xueyuanjie	7275	100	2763	37.98	3457	47.52	1043	14.34	12	0.16	          	          
TIANXIN 	Chengnanlu	13509	100	4671	34.58	7270	53.82	1550	11.47	18	0.13	          	          
TIANXIN 	Yunanjie	22018	100	7596	34.5	12001	54.51	2397	10.89	24	0.11	          	          
TIANXIN 	Jinpenling	20559	100	7138	34.72	11660	56.71	1741	8.47	20	0.10	          	          
TIANXIN 	Xinkaipu	19326	100	6812	35.25	10709	55.41	1772	9.17	33	0.17	          	          
TIANXIN 	Datuo	11306	100	3061	27.07	6420	56.78	1778	15.73	46	0.41	1	0.01
YUELU 	Total	96712	100	32444	33.55	53224	55.03	10863	11.23	181	0.19	          	          
YUELU 	Wangyuehu	11031	100	3993	36.20	5912	53.59	1114	10.10	12	0.11	          	          
YUELU 	Yuelu	12360	100	3928	31.78	6709	54.28	1682	13.61	41	0.33	          	          
YUELU 	Juzizhou	15941	100	6140	38.52	8365	52.47	1419	8.90	17	0.11	          	          
YUELU 	Yinpenling	13426	100	4364	32.5	7617	56.73	1432	10.67	13	0.10	          	          
YUELU 	Guanshaling	10285	100	3277	31.86	5842	56.80	1147	11.15	19	0.18	          	          
YUELU 	Wangchengpo	7620	100	2718	35.67	4234	55.56	658	8.64	10	0.13	          	          
YUELU 	Xihu	8076	100	3292	40.76	4157	51.47	619	7.66	8	0.10	          	          
YUELU 	Xianjiahu	1139	100	404	35.47	596	52.33	136	11.94	3	0.26	          	          
YUELU 	Dongfanghong	2453	100	563	22.95	1368	55.77	503	20.51	19	0.77	          	          
YUELU 	Wangyue	4733	100	1320	27.89	2658	56.16	741	15.66	14	0.30	          	          
YUELU 	Tianding	9648	100	2445	25.34	5766	59.76	1412	14.64	25	0.26	          	          
KAIFU 	Total	131843	100	41128	31.19	73641	55.86	16804	12.75	270	0.20	          	          
KAIFU 	Jinxialu	1045	100	271	25.93	570	54.55	200	19.14	4	0.38	          	          
