V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
NANMING 	Total	51722	26787	24935	28797	16855	11942	3877	2123	1754	11.87	11.19	12.81
NANMING 	Xinhualu	1842	927	915	1111	622	489	126	67	59	10.19	9.72	10.77
NANMING 	Xihulu	4976	2514	2462	2699	1484	1215	367	177	190	11.97	10.66	13.52
NANMING 	Dananmen	1209	576	633	688	354	334	123	75	48	15.17	17.48	12.57
NANMING 	Zhonghuananlu	416	206	210	274	150	124	33	17	16	10.75	10.18	11.43
NANMING 	Shifulu	763	372	391	471	265	206	44	31	13	8.54	10.47	5.94
NANMING 	Hebin	2811	1388	1423	1390	748	642	150	78	72	9.74	9.44	10.08
NANMING 	Zunyilu	4119	2086	2033	2351	1320	1031	328	179	149	12.24	11.94	12.63
NANMING 	Xingguanlu	4561	2243	2318	2623	1452	1171	426	216	210	13.97	12.95	15.21
NANMING 	Shachonglu	3644	1895	1749	1884	1084	800	269	170	99	12.49	13.56	11.01
NANMING 	Taiciqiao	3850	2121	1729	1729	1018	711	342	195	147	16.51	16.08	17.13
NANMING 	Huaguoyuan	3485	1741	1744	1892	1056	836	324	171	153	14.62	13.94	15.47
NANMING 	Youzhajie	4576	2381	2195	2707	1599	1108	367	180	187	11.94	10.12	14.44
NANMING 	Zhongcaosi	2542	1365	1177	1243	766	477	326	200	126	20.78	20.70	20.90
NANMING 	Ergezhai	3943	2162	1781	2075	1290	785	202	100	102	8.87	7.19	11.5
NANMING 	Longdongbao	1451	786	665	352	197	155	59	26	33	14.36	11.66	17.55
NANMING 	Houchao	4774	2569	2205	3365	2248	1117	188	126	62	5.29	5.31	5.26
NANMING 	Yunguan	2760	1455	1305	1943	1202	741	203	115	88	9.46	8.73	10.62
YUNYAN 	Total	52966	26504	26462	30014	17034	12980	3504	2020	1484	10.45	10.60	10.26
YUNYAN 	Zhonghuabeilu	668	319	349	410	229	181	49	26	23	10.68	10.20	11.27
YUNYAN 	Zhonghuazhonglu	1280	589	691	725	399	326	86	42	44	10.60	9.52	11.89
YUNYAN 	Zhongshandonglu	3751	1844	1907	2149	1163	986	293	172	121	12	12.88	10.93
YUNYAN 	Zhongshanxilu	1211	577	634	729	379	350	88	47	41	10.77	11.03	10.49
YUNYAN 	Beijinglu	3570	1762	1808	2133	1105	1028	222	124	98	9.43	10.09	8.70
YUNYAN 	Yananzhonglu	1749	843	906	1065	562	503	107	60	47	9.13	9.65	8.55
YUNYAN 	Shixilu	2822	1359	1463	1732	925	807	138	84	54	7.38	8.33	6.27
YUNYAN 	Putuolu	2205	1071	1134	1251	672	579	252	137	115	16.77	16.93	16.57
YUNYAN 	Huanchengbeilu	1672	806	866	1019	536	483	69	40	29	6.34	6.94	5.66
YUNYAN 	Guiwulu	5145	2511	2634	2740	1485	1255	377	218	159	12.09	12.80	11.24
YUNYAN 	Qianlingdonglu	3578	1771	1807	1830	978	852	158	88	70	7.95	8.26	7.59
YUNYAN 	Weiqinglu	1875	942	933	1109	605	504	113	75	38	9.25	11.03	7.01
YUNYAN 	Touqiao	5369	2726	2643	2958	1692	1266	441	252	189	12.97	12.96	12.99
YUNYAN 	Sanqiao	5082	2558	2524	2542	1482	1060	425	243	182	14.32	14.09	14.65
YUNYAN 	Zhaiji	3871	2000	1871	1943	1084	859	249	135	114	11.36	11.07	11.72
YUNYAN 	Qianling	9118	4826	4292	5679	3738	1941	437	277	160	7.15	6.90	7.62
HUAXI 	Total	23857	12532	11325	17244	9410	7834	482	269	213	2.72	2.78	2.65
HUAXI 	Huaxi	4769	2510	2259	2404	1308	1096	161	67	94	6.28	4.87	7.90
