zip2,province_name
1,Inner Mongolia
2,Inner Mongolia
3,Shanxi
4,Shanxi
5,Hebei
7,Hebei
10,Beijing
11,Liaoning
12,Liaoning
13,Jilin
15,Heilongjiang
16,Heilongjiang
20,Shanghai
21,Jiangsu
22,Jiangsu
23,Anhui
24,Anhui
25,Shandong
26,Shandong
27,Shandong
30,Tianjin
31,Zhejiang
32,Zhejiang
33,Jiangxi
34,Jiangxi
35,Fujian
36,Fujian
40,Chongqing
41,Hunan
42,Hunan
43,Hubei
44,Hubei
45,Henan
46,Henan
47,Henan
51,Guangdong
52,Guangdong
53,Guangxi
54,Guangxi
55,Guizhou
56,Guizhou
57,Hainan
61,Sichuan
62,Sichuan
63,Sichuan
64,Sichuan
65,Yunnan
66,Yunnan
67,Yunnan
71,Shaanxi
72,Shaanxi
73,Gansu
74,Gansu
75,Ningxia
81,Qinghai
83,Xinjiang
